1	6708	13032			
2	6661	13012	666	1998	333
3	6630	13004	1262	3388	648
4	6702	12988	1806	4382	951
5	7352	12972	2361	5273	1271
6	6645	12960	2789	5685	1539
7	6455	12948	3156	5916	1785
8	6747	12940	3515	6165	2033
9	6745	12916	3838	6339	2269
10	6313	12920	4086	6331	2471
11	6538	12908	4331	6393	2674
12	6699	12904	4568	6485	2876
13	6637	12896	4775	6531	3064
14	6517	12884	4949	6527	3236
15	6670	12884	5121	6570	3408
16	6385	12876	5247	6514	3557
17	6545	12868	5377	6523	3706
18	6786	12868	5518	6602	3860
19	7015	12848	5668	6726	4018
20	6594	12852	5760	6686	4147
21	6743	12852	5859	6703	4277
22	6556	12852	5928	6659	4391
23	6766	12832	6012	6691	4509
24	7997	12824	6211	7083	4684
25	6662	12832	6256	6957	4783
26	7080	12816	6338	6994	4898
27	6601	12828	6364	6876	4983
28	6582	12820	6386	6788	5063
29	6507	12820	6398	6703	5135
30	9333	12756	6692	7492	5345
31	7886	12780	6811	7610	5472
32	9677	12720	7098	8230	5682
33	9507	12720	7339	8613	5873
34	9139	12748	7519	8771	6037
35	8284	12732	7595	8625	6149
36	6966	12776	7532	8127	6190
37	7390	12776	7518	7906	6250
38	6883	12788	7455	7599	6282
39	6601	12780	7369	7300	6297
40	6881	12780	7320	7174	6327
41	7052	12780	7294	7137	6363
42	6820	12784	7246	7042	6386
43	6638	12792	7185	6921	6398
44	7495	12776	7216	7093	6453
45	7863	12780	7281	7324	6524
46	6581	12784	7211	7101	6527
47	6968	12776	7187	7061	6549
48	7253	12772	7193	7119	6584
49	7317	12764	7206	7178	6621
50	6774	12772	7163	7057	6628
51	6845	12768	7131	6993	6639
52	7034	12764	7121	7006	6659
53	6824	12768	7091	6951	6667
54	7453	12756	7128	7102	6706
55	7119	12760	7127	7107	6727
56	7267	12756	7141	7155	6754
57	7381	12744	7165	7223	6785
58	7089	12764	7157	7183	6801
59	8149	12740	7256	7473	6868
60	6874	12764	7218	7293	6868
61	7282	12752	7225	7290	6889
62	6866	12756	7189	7163	6888
63	6991	12744	7169	7111	6893
64	7084	12744	7160	7103	6902
65	7357	12740	7180	7179	6925
66	7121	12744	7174	7162	6935
67	7300	12744	7187	7203	6953
68	7145	12756	7183	7186	6963
69	7763	12720	7241	7359	7003
70	6889	12744	7205	7218	6997
71	7207	12748	7206	7215	7008
72	7095	12744	7195	7179	7012
73	7571	12688	7232	7296	7040
74	7044	12748	7213	7221	7040
75	6746	12736	7167	7078	7025
76	6947	12744	7145	7039	7022
77	7127	12744	7143	7065	7027
78	6595	12752	7088	6924	7005
79	6705	12756	7050	6858	6990
80	6766	12752	7021	6831	6979
81	7015	12744	7021	6886	6981
82	7209	12724	7040	6983	6992
83	7093	12740	7045	7016	6997
84	7081	12728	7049	7035	7001
85	6622	12748	7006	6911	6982
86	6715	12744	6977	6852	6969
87	6683	12740	6947	6802	6955
88	6756	12744	6928	6788	6945
89	8054	12700	7041	7168	7000
90	7173	12724	7054	7169	7009
91	6465	12744	6995	6958	6982
92	6743	12744	6970	6894	6970
93	7005	12728	6973	6927	6972
94	7122	12732	6988	6985	6979
95	7428	12748	7032	7118	7002
96	7364	12724	7065	7192	7020
97	3579	12824	6717	6108	6848
98	3706	12836	6416	5387	6691
99	3543	12844	6128	4834	6533
100	3715	12848	5887	4498	6392
101	3538	12856	5652	4210	6250
102	3653	12856	5452	4043	6120
103	4767	12856	5384	4260	6052
104	3607	12864	5206	4064	5930
105	4407	12828	5126	4167	5854
106	5065	12816	5120	4436	5814
107	4609	12844	5069	4488	5754
108	5073	12816	5069	4664	5720
109	5212	12816	5084	4828	5695
110	3658	12860	4941	4477	5593
111	4345	12848	4881	4437	5530
112	4051	12848	4798	4322	5456
113	4166	12852	4735	4275	5392
114	3970	12848	4659	4183	5321
115	3735	12848	4566	4049	5241
116	4837	12848	4593	4285	5221
117	4650	12840	4599	4395	5193
118	3581	12868	4497	4151	5112
119	3662	12864	4414	4004	5040
120	3483	12864	4321	3848	4962
121	3703	12868	4259	3804	4899
122	3569	12868	4190	3734	4832
123	3668	12872	4138	3714	4774
124	3557	12868	4080	3667	4713
125	3811	12868	4053	3710	4668
126	3806	12864	4028	3739	4625
127	864	12956	3712	2876	4437
128	4875	12932	3828	3476	4459
129	5428	12904	3988	4062	4507
130	7177	12836	4307	4996	4641
131	7307	12824	4607	5689	4774
132	7213	12816	4868	6147	4896
133	7029	12804	5084	6411	5003
134	7151	12800	5290	6633	5110
135	7082	12788	5470	6768	5209
136	5715	12812	5494	6452	5234
137	5800	12808	5525	6256	5262
138	5921	12792	5564	6156	5295
139	6853	12776	5693	6365	5373
140	6782	12752	5802	6490	5444
141	6598	12760	5882	6522	5501
142	6715	12768	5965	6580	5562
143	7704	12724	6139	6917	5669
144	7490	12732	6274	7089	5760
145	7297	12732	6376	7151	5837
146	6889	12740	6428	7073	5890
147	6903	12736	6475	7022	5940
148	7008	12740	6528	7018	5994
149	7089	12732	6584	7039	6048
150	6975	12732	6624	7020	6095
151	7703	12728	6731	7225	6175
152	7086	12732	6767	7183	6221
153	7076	12728	6798	7151	6263
154	7026	12720	6821	7114	6302
155	6854	12728	6824	7036	6329
156	7161	12732	6858	7073	6371
157	7194	12720	6891	7109	6412
158	7351	12708	6937	7182	6459
159	7019	12724	6945	7133	6487
160	7517	12716	7003	7248	6538
161	7601	12684	7062	7354	6592
162	7883	12684	7145	7513	6656
163	6988	12716	7129	7355	6673
164	7192	12716	7135	7306	6699
165	7203	12712	7142	7275	6724
