
23;13564;ON;ON;4
4681;13316;ON;ON;100
4150;13320;ON;ON;140
-58;13504;ON;ON;138
-12;13520;ON;ON;121
6640;13240;OFF;ON;186
6745;13220;OFF;ON;251
7241;13140;OFF;ON;320
6861;13176;OFF;ON;385
6572;13160;OFF;ON;446
6731;13152;OFF;ON;508
6822;13132;OFF;ON;571
6736;13108;OFF;ON;632
6774;13100;OFF;ON;693
6683;13076;OFF;ON;752
6826;13068;OFF;ON;812
6661;13044;OFF;ON;870
6976;13024;OFF;ON;931
6852;13012;OFF;ON;990
6662;13004;OFF;ON;1046
6873;12984;OFF;ON;1104
6624;12964;OFF;ON;1159
6880;12952;OFF;ON;1216
6787;12940;OFF;ON;1271
6891;12920;OFF;ON;1327
6737;12908;OFF;ON;1381
6667;12884;OFF;ON;1433
6841;12876;OFF;ON;1487
6748;12860;OFF;ON;1539
6682;12848;OFF;ON;1590
6855;12828;OFF;ON;1642
6708;12816;OFF;ON;1692
6901;12796;OFF;ON;1744
6710;12788;OFF;ON;1793
6955;12776;OFF;ON;1844
6700;12760;OFF;ON;1892
8008;12740;OFF;ON;1953
7021;12728;OFF;ON;2003
7057;12724;OFF;ON;2053
6803;12700;OFF;ON;2149
7212;12660;OFF;ON;2245
7523;12656;OFF;ON;2297
7019;12656;OFF;ON;2344
6657;12648;OFF;ON;2387
7059;12648;OFF;ON;2433
7301;12616;OFF;ON;2481
7023;12624;OFF;ON;2526
6958;12616;OFF;ON;2570
7110;12612;OFF;ON;2615
6862;12596;OFF;ON;2701
6904;12588;OFF;ON;2784
7078;12580;OFF;ON;2826
6991;12572;OFF;ON;2867
7359;12552;OFF;ON;2911
7087;12568;OFF;ON;2952
7015;12564;OFF;ON;2992
7042;12560;OFF;ON;3032
6877;12548;OFF;ON;3070
6926;12544;OFF;ON;3186
6969;12540;OFF;ON;3223
6874;12536;OFF;ON;3259
7149;12540;OFF;ON;3297
7107;12532;OFF;ON;3335
6893;12524;OFF;ON;3370
7422;12508;OFF;ON;3445
7107;12512;OFF;ON;3521
9231;12432;OFF;ON;3647
9725;12384;OFF;ON;3707
9623;12428;OFF;ON;3826
9651;12404;OFF;ON;3884
9148;12388;OFF;ON;3936
7901;12404;OFF;ON;3975
7038;12480;OFF;ON;4005
7943;12476;OFF;ON;4044
7002;12500;OFF;ON;4073
6981;12472;OFF;ON;4102
6962;12500;OFF;ON;4216
7190;12500;OFF;ON;4245
7408;12488;OFF;ON;4304
7088;12504;OFF;ON;4331
7076;12496;OFF;ON;4358
7262;12500;OFF;ON;4441
7021;12512;OFF;ON;4546
7084;12508;OFF;ON;4595
6848;12512;OFF;ON;4617
7169;12520;OFF;ON;4642
6915;12512;OFF;ON;4664
6864;12520;OFF;ON;4777
7044;12520;OFF;ON;4819
7044;12528;OFF;ON;4905
7064;12528;OFF;ON;4947
6855;12528;OFF;ON;4986
7319;12532;OFF;ON;5009
6952;12524;OFF;ON;5028
7073;12520;OFF;ON;5048
7494;12528;OFF;ON;5091
7133;12536;OFF;ON;5111
6910;12524;OFF;ON;5128
7293;12528;OFF;ON;5184
6968;12544;OFF;ON;5201
6977;12540;OFF;ON;5218
6925;12540;OFF;ON;5250
7008;12544;OFF;ON;5318
7111;12552;OFF;ON;5350
6888;12548;OFF;ON;5365
6997;12544;OFF;ON;5381
7132;12548;OFF;ON;5413
6858;12552;OFF;ON;5443
7001;12552;OFF;ON;5471
6817;12552;OFF;ON;5513
6985;12556;OFF;ON;5554
6978;12556;OFF;ON;5607
7441;12540;OFF;ON;5651
6985;12560;OFF;ON;5664
7058;12564;OFF;ON;5727
7306;12540;OFF;ON;5742
7049;12564;OFF;ON;5755
7157;12560;OFF;ON;5804
7005;12560;OFF;ON;5826
7212;12568;OFF;ON;5850
6957;12568;OFF;ON;5861
7069;12564;OFF;ON;5873
6870;12556;OFF;ON;5882
7133;12568;OFF;ON;5894
7058;12564;OFF;ON;5917
6836;12568;OFF;ON;5955
7531;12568;OFF;ON;5980
6804;12572;OFF;ON;5988
7059;12572;OFF;ON;5998
6856;12576;OFF;ON;6006
6965;12572;OFF;ON;6024
7009;12568;OFF;ON;6033
7161;12572;OFF;ON;6069
7544;12564;OFF;ON;6094
6779;12576;OFF;ON;6100
7124;12580;OFF;ON;6110
6844;12576;OFF;ON;6117
7073;12572;OFF;ON;6126
7302;12556;OFF;ON;6160
7008;12580;OFF;ON;6168
7036;12572;OFF;ON;6176
7079;12580;OFF;ON;6205
7045;12576;OFF;ON;6236
6973;12576;OFF;ON;6250
6983;12580;OFF;ON;6264
7087;12568;OFF;ON;6278
6786;12580;OFF;ON;6295
6888;12580;OFF;ON;6325
7093;12584;OFF;ON;6339
6974;12580;OFF;ON;6345
6899;12580;OFF;ON;6356
7208;12584;OFF;ON;6364
7421;12564;OFF;ON;6374
6981;12588;OFF;ON;6391
